res_file,feats,imp_ratio,obs,overlap,distance
feat70_imp14_rat0.2_obs1600.json,70,0.2,1600,0.86,0.4554
feat70_imp35_rat0.5_obs100.json,70,0.5,100,0.69,0.229
feat50_imp33_rat0.65_obs6100.json,50,0.65,6100,0.88,0.3853
feat110_imp6_rat0.05_obs3100.json,110,0.05,3100,0.83,0.5172
feat110_imp55_rat0.5_obs7600.json,110,0.5,7600,0.8,0.3647
feat10_imp2_rat0.2_obs3100.json,10,0.2,3100,1.0,0.6098
feat70_imp14_rat0.2_obs3100.json,70,0.2,3100,0.86,0.454
feat10_imp4_rat0.35_obs1600.json,10,0.35,1600,1.0,0.5574
feat130_imp124_rat0.95_obs4600.json,130,0.95,4600,0.97,0.2632
feat90_imp45_rat0.5_obs9100.json,90,0.5,9100,0.91,0.3823
feat30_imp11_rat0.35_obs1600.json,30,0.35,1600,0.91,0.4648
feat10_imp2_rat0.2_obs9100.json,10,0.2,9100,1.0,0.7857
feat70_imp35_rat0.5_obs1600.json,70,0.5,1600,0.91,0.4395
feat30_imp11_rat0.35_obs100.json,30,0.35,100,0.64,0.3018
feat50_imp48_rat0.95_obs7600.json,50,0.95,7600,0.98,0.3963
feat30_imp20_rat0.65_obs100.json,30,0.65,100,0.75,0.2712
feat90_imp59_rat0.65_obs3100.json,90,0.65,3100,0.85,0.3024
feat110_imp105_rat0.95_obs4600.json,110,0.95,4600,0.96,0.2786
feat30_imp20_rat0.65_obs6100.json,30,0.65,6100,0.9,0.4336
feat70_imp67_rat0.95_obs1600.json,70,0.95,1600,0.97,0.2867
feat70_imp14_rat0.2_obs9100.json,70,0.2,9100,0.93,0.5552
feat130_imp104_rat0.8_obs7600.json,130,0.8,7600,0.94,0.3643
feat50_imp18_rat0.35_obs7600.json,50,0.35,7600,0.89,0.4422
feat30_imp29_rat0.95_obs9100.json,30,0.95,9100,0.97,0.2823
feat30_imp29_rat0.95_obs6100.json,30,0.95,6100,1.0,0.4818
feat130_imp26_rat0.2_obs3100.json,130,0.2,3100,0.81,0.3924
feat50_imp3_rat0.05_obs7600.json,50,0.05,7600,1.0,0.6379
feat30_imp2_rat0.05_obs100.json,30,0.05,100,1.0,0.5537
feat10_imp2_rat0.2_obs1600.json,10,0.2,1600,1.0,0.682
feat30_imp11_rat0.35_obs6100.json,30,0.35,6100,0.91,0.5059
feat90_imp32_rat0.35_obs3100.json,90,0.35,3100,0.81,0.36
feat10_imp8_rat0.8_obs6100.json,10,0.8,6100,0.88,0.4542
feat70_imp56_rat0.8_obs6100.json,70,0.8,6100,0.89,0.3777
feat90_imp32_rat0.35_obs6100.json,90,0.35,6100,0.91,0.4387
feat30_imp20_rat0.65_obs9100.json,30,0.65,9100,0.9,0.4919
feat130_imp85_rat0.65_obs9100.json,130,0.65,9100,0.86,0.342
feat10_imp4_rat0.35_obs9100.json,10,0.35,9100,1.0,0.5874
feat30_imp6_rat0.2_obs1600.json,30,0.2,1600,1.0,0.5079
feat70_imp46_rat0.65_obs9100.json,70,0.65,9100,0.91,0.3915
feat70_imp67_rat0.95_obs7600.json,70,0.95,7600,0.96,0.373
feat70_imp46_rat0.65_obs1600.json,70,0.65,1600,0.87,0.4038
feat110_imp6_rat0.05_obs7600.json,110,0.05,7600,1.0,0.6127
feat30_imp29_rat0.95_obs7600.json,30,0.95,7600,0.97,0.432
feat50_imp3_rat0.05_obs9100.json,50,0.05,9100,1.0,0.6196
feat30_imp6_rat0.2_obs3100.json,30,0.2,3100,1.0,0.6333
feat70_imp14_rat0.2_obs6100.json,70,0.2,6100,0.93,0.4911
feat130_imp124_rat0.95_obs1600.json,130,0.95,1600,0.97,0.2679
feat10_imp7_rat0.65_obs4600.json,10,0.65,4600,0.86,0.4873
feat50_imp40_rat0.8_obs3100.json,50,0.8,3100,0.93,0.3712
feat30_imp15_rat0.5_obs7600.json,30,0.5,7600,0.93,0.4991
feat10_imp2_rat0.2_obs6100.json,10,0.2,6100,1.0,0.6524
feat70_imp35_rat0.5_obs4600.json,70,0.5,4600,0.8,0.3508
feat30_imp6_rat0.2_obs4600.json,30,0.2,4600,1.0,0.5474
feat110_imp39_rat0.35_obs9100.json,110,0.35,9100,0.82,0.37
feat110_imp6_rat0.05_obs6100.json,110,0.05,6100,1.0,0.6184
feat90_imp72_rat0.8_obs6100.json,90,0.8,6100,0.9,0.3393
feat70_imp4_rat0.05_obs100.json,70,0.05,100,0.75,0.4877
feat30_imp15_rat0.5_obs4600.json,30,0.5,4600,1.0,0.4432
feat30_imp29_rat0.95_obs100.json,30,0.95,100,1.0,0.4174
feat10_imp5_rat0.5_obs9100.json,10,0.5,9100,1.0,0.571
feat90_imp5_rat0.05_obs7600.json,90,0.05,7600,1.0,0.6216
feat130_imp85_rat0.65_obs3100.json,130,0.65,3100,0.89,0.3575
feat70_imp67_rat0.95_obs9100.json,70,0.95,9100,0.96,0.3057
feat30_imp20_rat0.65_obs1600.json,30,0.65,1600,0.8,0.3633
feat30_imp2_rat0.05_obs4600.json,30,0.05,4600,1.0,0.7145
feat90_imp18_rat0.2_obs7600.json,90,0.2,7600,0.83,0.4881
feat130_imp7_rat0.05_obs1600.json,130,0.05,1600,1.0,0.567
feat30_imp24_rat0.8_obs6100.json,30,0.8,6100,0.92,0.3475
feat110_imp72_rat0.65_obs7600.json,110,0.65,7600,0.89,0.3649
feat50_imp40_rat0.8_obs1600.json,50,0.8,1600,0.88,0.3203
feat110_imp6_rat0.05_obs4600.json,110,0.05,4600,1.0,0.5571
feat30_imp11_rat0.35_obs3100.json,30,0.35,3100,1.0,0.5164
feat130_imp104_rat0.8_obs9100.json,130,0.8,9100,0.89,0.3141
feat50_imp40_rat0.8_obs6100.json,50,0.8,6100,0.95,0.399
feat90_imp86_rat0.95_obs100.json,90,0.95,100,0.95,0.1672
feat130_imp124_rat0.95_obs9100.json,130,0.95,9100,0.97,0.3358
feat110_imp55_rat0.5_obs1600.json,110,0.5,1600,0.76,0.2895
feat130_imp65_rat0.5_obs7600.json,130,0.5,7600,0.83,0.329
feat130_imp65_rat0.5_obs3100.json,130,0.5,3100,0.78,0.2998
feat90_imp5_rat0.05_obs9100.json,90,0.05,9100,1.0,0.5287
feat110_imp55_rat0.5_obs9100.json,110,0.5,9100,0.89,0.3765
feat30_imp24_rat0.8_obs9100.json,30,0.8,9100,0.83,0.3217
feat10_imp8_rat0.8_obs100.json,10,0.8,100,0.75,0.2516
feat90_imp45_rat0.5_obs3100.json,90,0.5,3100,0.82,0.3287
feat50_imp48_rat0.95_obs100.json,50,0.95,100,0.98,0.2181
feat130_imp65_rat0.5_obs6100.json,130,0.5,6100,0.82,0.3672
feat30_imp6_rat0.2_obs7600.json,30,0.2,7600,1.0,0.4899
feat90_imp72_rat0.8_obs9100.json,90,0.8,9100,0.9,0.326
feat30_imp20_rat0.65_obs4600.json,30,0.65,4600,0.95,0.3757
feat30_imp11_rat0.35_obs9100.json,30,0.35,9100,0.82,0.4581
feat10_imp2_rat0.2_obs7600.json,10,0.2,7600,1.0,0.6942
feat30_imp20_rat0.65_obs3100.json,30,0.65,3100,0.95,0.4667
feat70_imp67_rat0.95_obs3100.json,70,0.95,3100,0.96,0.2145
feat10_imp1_rat0.05_obs100.json,10,0.05,100,1.0,0.5603
feat30_imp24_rat0.8_obs4600.json,30,0.8,4600,0.96,0.4353
feat70_imp4_rat0.05_obs1600.json,70,0.05,1600,0.75,0.5581
feat10_imp4_rat0.35_obs3100.json,10,0.35,3100,1.0,0.5976
feat10_imp8_rat0.8_obs9100.json,10,0.8,9100,0.88,0.4607
feat70_imp56_rat0.8_obs4600.json,70,0.8,4600,0.89,0.3452
feat90_imp18_rat0.2_obs6100.json,90,0.2,6100,0.94,0.4729
feat30_imp2_rat0.05_obs1600.json,30,0.05,1600,1.0,0.7145
feat30_imp6_rat0.2_obs100.json,30,0.2,100,0.83,0.4644
feat50_imp10_rat0.2_obs3100.json,50,0.2,3100,0.9,0.4659
feat110_imp72_rat0.65_obs9100.json,110,0.65,9100,0.88,0.3294
feat90_imp5_rat0.05_obs4600.json,90,0.05,4600,1.0,0.5943
feat30_imp2_rat0.05_obs7600.json,30,0.05,7600,1.0,0.7796
feat110_imp55_rat0.5_obs6100.json,110,0.5,6100,0.85,0.4352
